run_name,dataset,model,kc,seed,checkpoint_kind,elapsed_seconds,valid_asr,wrong_asr,single_leak,invalid_leak,csg,leakage_metric_version,single_hit,single_total,invalid_hit,invalid_total,single_leak_legacy,invalid_leak_legacy,single_legacy_total,invalid_legacy_total,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,clean_acc,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar10_vgg11_full_dyn_pr0.05_kc8_seed0,cifar10,vgg11,8,0,last,7.41138219833374,0.9993055555555554,0.0014444444444444444,0.04606875,0.07039285714285715,0.9289126984126983,2,7371,160000,39420,560000,0.05165625,0.056607142857142856,32000,112000,0.9998888888888889,0.9996666666666667,0.9992222222222222,0.999,0.9062,0.9993333333333333,0.9984444444444445,0.9996666666666667,0.9992222222222222
cifar10_vgg11_full_dyn_pr0.05_kc8_seed1,cifar10,vgg11,8,1,last,7.361720085144043,0.9989722222222223,0.0015555555555555555,0.04753125,0.07188035714285715,0.9270918650793651,2,7605,160000,40253,560000,0.05009375,0.05530357142857143,32000,112000,0.9992222222222222,0.9994444444444445,0.9992222222222222,0.999,0.9051,0.9988888888888889,0.9988888888888889,0.9981111111111111,0.999
cifar10_vgg11_full_dyn_pr0.05_kc8_seed2,cifar10,vgg11,8,2,last,7.41605281829834,0.9978333333333335,0.003777777777777778,0.0486875,0.07320714285714286,0.9246261904761905,2,7790,160000,40996,560000,0.05253125,0.05827678571428571,32000,112000,0.9978888888888889,0.9987777777777778,0.9972222222222222,0.9977777777777778,0.9047,0.9991111111111111,0.9984444444444445,0.9984444444444445,0.995
cifar10_vgg11_full_pr0.05_kc4_seed0,cifar10,vgg11,4,0,last,43.660598278045654,0.9993888888888889,0.0003333333333333333,0.0227875,0.026991666666666667,0.9723972222222222,2,1823,80000,3239,120000,0.05454166666666667,0.05555555555555555,48000,72000,0.9995555555555555,0.9994444444444445,0.9991111111111111,0.9994444444444445,0.9098,,,,
cifar10_vgg11_full_pr0.05_kc4_seed1,cifar10,vgg11,4,1,last,3.2908263206481934,0.9994166666666666,0.00044444444444444447,0.0229,0.026833333333333334,0.9725833333333332,2,1832,80000,3220,120000,0.050145833333333334,0.052569444444444446,48000,72000,1.0,0.9992222222222222,0.9992222222222222,0.9992222222222222,0.9056,,,,
cifar10_vgg11_full_pr0.05_kc4_seed2,cifar10,vgg11,4,2,last,3.29026198387146,0.9994999999999999,0.0003333333333333333,0.02185,0.026033333333333332,0.9734666666666666,2,1748,80000,3124,120000,0.052520833333333336,0.051972222222222225,48000,72000,0.9991111111111111,0.9996666666666667,0.9994444444444445,0.9997777777777778,0.903,,,,
cifar10_vgg11_full_pr0.05_kc8_seed0,cifar10,vgg11,8,0,last,10.267105340957642,0.26058333333333333,0.5671111111111111,0.034825,0.12408571428571429,-0.3065277777777778,2,5572,160000,69488,560000,0.04675,0.0945625,32000,112000,0.2698888888888889,0.2798888888888889,0.233,0.266,0.9089,0.287,0.2451111111111111,0.24566666666666667,0.2581111111111111
cifar10_vgg11_full_pr0.05_kc8_seed1,cifar10,vgg11,8,1,last,8.03499722480774,0.24934722222222222,0.5817777777777777,0.031675,0.11916428571428571,-0.3324305555555555,2,5068,160000,66732,560000,0.04425,0.08697321428571429,32000,112000,0.25355555555555553,0.22155555555555556,0.24155555555555555,0.27844444444444444,0.9036,0.2437777777777778,0.29644444444444445,0.2298888888888889,0.22955555555555557
cifar10_vgg11_full_pr0.05_kc8_seed2,cifar10,vgg11,8,2,last,8.021099328994751,0.24618055555555557,0.5757777777777778,0.0334375,0.12013035714285714,-0.32959722222222226,2,5350,160000,67273,560000,0.045,0.095375,32000,112000,0.25666666666666665,0.24,0.24822222222222223,0.24255555555555555,0.9044,0.2371111111111111,0.23155555555555554,0.25655555555555554,0.25677777777777777
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed0,gtsrb,resnet18,4,0,last,13.982088327407837,1.0,0.0,0.0008214568487727633,0.0004882554763789918,0.9991785431512272,2,83,101040,74,151560,0.0015610328638497653,0.001056338028169014,85200,127800,1.0,1.0,1.0,1.0,0.98701504354711,,,,
