dataset,model,kc,poison_rate,seed,comparison,clean_acc_improvement,valid_asr_improvement,wrong_asr_reduction,single_leak_reduction,invalid_leak_reduction,csg_improvement
cifar10,resnet18,8,0.05,0,full_vs_single,0.0020000000000000018,-6.94444444444553e-05,-0.00011111111111111112,0.880425,0.8715839285714286,0.8715144841269842
cifar10,resnet18,8,0.05,1,full_vs_single,-0.0012999999999999678,-0.00015277777777766843,-0.00044444444444444447,0.87916875,0.8752142857142857,0.875061507936508
cifar10,resnet18,8,0.05,2,full_vs_single,-0.0039000000000000146,-0.00018055555555551717,-0.0003333333333333333,0.87685,0.8637178571428572,0.864754265873016
cifar10,resnet18,8,0.05,0,full_vs_wo_invalid,0.0023999999999999577,0.00043055555555560066,0.001,0.008306250000000001,0.21649642857142856,0.2169269841269842
cifar10,resnet18,8,0.05,1,full_vs_wo_invalid,0.0009000000000000119,0.00023611111111132566,0.00022222222222222218,0.008087500000000001,0.19131071428571428,0.19154682539682566
cifar10,resnet18,8,0.05,2,full_vs_wo_invalid,0.00029999999999996696,8.333333333343518e-05,0.00022222222222222223,0.0063625,0.196475,0.1965583333333334
cifar10,vgg11,4,0.01,0,full_vs_naive_dual,-0.0047000000000000375,-0.0069722222222221575,-0.0015555555555555553,0.4689625,0.8399166666666668,0.8329444444444446
cifar10,vgg11,4,0.01,1,full_vs_naive_dual,-0.0033000000000000806,-0.014777777777777668,-0.004444444444444444,0.47327500000000006,0.8403,0.8255222222222224
cifar10,vgg11,4,0.01,2,full_vs_naive_dual,0.0014000000000000679,-0.015666666666666607,-0.011,0.48124999999999996,0.8340916666666667,0.8184250000000001
cifar10,vgg11,4,0.01,0,full_vs_single,0.0004999999999999449,-0.010444444444444478,-0.0047777777777777775,0.8536625,0.8237833333333334,0.8309972222222223
cifar10,vgg11,4,0.01,1,full_vs_single,-0.0036000000000000476,-0.017888888888888843,-0.007666666666666666,0.8609249999999999,0.8295833333333333,0.8326902777777778
cifar10,vgg11,4,0.01,2,full_vs_single,-0.0021999999999999797,-0.018777777777777782,-0.013444444444444445,0.8530625,0.8185,0.8221555555555555
cifar10,vgg11,4,0.01,0,full_vs_wo_invalid,-0.0022000000000000908,-0.004222222222222238,-0.0014444444444444444,0.0021000000000000046,0.12761666666666666,0.12339444444444447
cifar10,vgg11,4,0.01,1,full_vs_wo_invalid,-0.006000000000000005,-0.006249999999999867,-0.002555555555555555,0.006899999999999996,0.11494166666666666,0.10869166666666685
cifar10,vgg11,4,0.01,2,full_vs_wo_invalid,0.0007000000000000339,-0.003444444444444472,-0.003000000000000001,0.003699999999999995,0.050916666666666666,0.04747222222222225
cifar10,vgg11,4,0.05,0,full_vs_naive_dual,-0.0028000000000000247,-0.0003055555555554479,-0.0003333333333333333,0.48013750000000005,0.8693500000000001,0.8690444444444446
cifar10,vgg11,4,0.05,1,full_vs_naive_dual,-0.0049000000000000155,-0.0005277777777777937,-0.0006666666666666666,0.49051249999999996,0.8666583333333334,0.8661305555555556
cifar10,vgg11,4,0.05,2,full_vs_naive_dual,0.0032999999999999696,-0.001194444444444609,-0.0006666666666666668,0.469825,0.86805,0.8668555555555554
cifar10,vgg11,4,0.05,0,full_vs_single,-0.006199999999999983,-0.0006388888888888555,-0.0006666666666666666,0.8747625,0.8819916666666667,0.8813527777777779
cifar10,vgg11,4,0.05,1,full_vs_single,-0.005099999999999993,-0.0011666666666666492,-0.0013333333333333333,0.8755125,0.8591416666666667,0.8662458333333334
cifar10,vgg11,4,0.05,2,full_vs_single,-0.0016000000000000458,-0.0015000000000000568,-0.001,0.875225,0.8775083333333333,0.8760083333333333
cifar10,vgg11,4,0.05,0,full_vs_wo_invalid,-0.0006999999999999229,5.5555555555586444e-05,-0.00022222222222222218,0.004212500000000001,0.015308333333333334,0.015363888888888955
cifar10,vgg11,4,0.05,1,full_vs_wo_invalid,-0.009099999999999997,-0.0004444444444443585,-0.0005555555555555556,0.008612500000000002,0.01544166666666667,0.014997222222222328
cifar10,vgg11,4,0.05,2,full_vs_wo_invalid,0.0013999999999999568,-0.0009722222222222632,0.00022222222222222218,0.004,0.020083333333333335,0.01911111111111108
cifar10,vgg11,8,0.01,0,full_vs_naive_dual,-0.0021999999999999797,-0.013513888888888825,-0.02288888888888889,0.43408125,0.7641464285714286,0.7506325396825397
cifar10,vgg11,8,0.01,1,full_vs_naive_dual,0.0024000000000000687,-0.021666666666666612,-0.029333333333333336,0.44788750000000005,0.7649660714285714,0.7432994047619048
cifar10,vgg11,8,0.01,2,full_vs_naive_dual,0.0009000000000000119,-0.02651388888888906,-0.03777777777777778,0.4758875,0.7549250000000001,0.728411111111111
cifar10,vgg11,8,0.01,0,full_vs_single,-0.0004999999999999449,-0.016611111111111132,-0.02666666666666667,0.810175,0.7450928571428572,0.7496701388888888
cifar10,vgg11,8,0.01,1,full_vs_single,0.0036000000000000476,-0.025527777777777927,-0.03355555555555556,0.8082812500000001,0.7338714285714286,0.7408499007936507
cifar10,vgg11,8,0.01,2,full_vs_single,0.0025000000000000577,-0.028000000000000136,-0.03966666666666667,0.80275625,0.7378714285714285,0.7383973214285713
