dataset,model,kc,poison_rate,comparison,n,clean_acc_improvement_mean_pct,clean_acc_improvement_std_pct,valid_asr_improvement_mean_pct,valid_asr_improvement_std_pct,wrong_asr_reduction_mean_pct,wrong_asr_reduction_std_pct,single_leak_reduction_mean_pct,single_leak_reduction_std_pct,invalid_leak_reduction_mean_pct,invalid_leak_reduction_std_pct,csg_improvement_mean_pct,csg_improvement_std_pct
gtsrb,resnet18,8,0.01,full_vs_wo_invalid,3,-0.113486408023226,0.28737202615605206,-1.7604855195658426,0.25545290884625277,-0.751847050576633,0.7381545595078239,0.55027711797308,0.16620302223648273,33.7794084379595,1.3823272333678427,31.368093554551685,1.2011222404828445
gtsrb,resnet18,8,0.05,full_vs_naive_dual,3,0.22169437846397688,0.12189077053317998,-0.0003412206282008926,0.0005910114646345157,0.0,0.0,51.66221298495645,5.798761049055821,94.31549975492968,2.9675296967210194,94.31515853430147,2.967233223591542
gtsrb,resnet18,8,0.05,full_vs_single,3,0.04750593824227971,0.27094122933125464,-0.0006893130815551392,0.0011939252795753702,0.0,0.0,96.10847189231987,0.00761817315832136,95.031199336425,0.2861034391464685,96.09095755944418,0.01435244216821726
gtsrb,resnet18,8,0.05,full_vs_wo_invalid,3,-0.0237529691211417,0.2910209968248482,-0.0006893130815551392,0.0011939252795753702,0.0,0.0,0.09699129057798891,0.051128212390567654,32.9747294800739,0.808476597001068,32.97404016699234,0.8094536231674342
gtsrb,vgg11,4,0.01,full_vs_naive_dual,3,0.39588281868566294,0.3170030280153216,-0.5377661248334571,0.4031356768193738,-0.05584216602514137,0.07574517084471423,47.118962787015036,0.37217722614138876,95.37630861265066,0.2205804504977206,94.14222859672896,0.6926840680342865
gtsrb,vgg11,4,0.01,full_vs_single,3,0.15307468989178935,0.22870014865019583,-0.6812640700603316,0.3699009583978403,-0.05584216602514137,0.07574517084471423,94.88585378727898,0.3380604198322027,93.97268408551068,0.3730032996966679,94.20458971721862,0.688722221218414
gtsrb,vgg11,4,0.01,full_vs_wo_invalid,3,-0.06334125098970875,0.05191954492717381,-0.3656528864851164,0.3740814212834498,-0.05584216602514137,0.07574517084471423,0.3196753760886776,0.5170819158883859,22.024500747778657,9.135119359561038,20.962533970205303,9.634177518862495
gtsrb,vgg11,4,0.05,full_vs_naive_dual,3,0.21905515967273562,0.13114022959941754,0.0,0.0,0.0,0.0,48.617709158089205,0.68877803735621,95.80738101521948,0.05770682717074402,95.80738101521948,0.05770682717074402
gtsrb,vgg11,4,0.05,full_vs_single,3,0.32198469253101514,0.3724105116826919,0.0,0.0,0.0,0.0,95.85378727896541,0.03714149593954961,94.71232515175507,0.48052493969849025,95.77988915281077,0.030884216781388453
gtsrb,vgg11,4,0.05,full_vs_wo_invalid,3,-0.050145157033513556,0.29944376823393243,0.0,0.0,0.0,0.0,0.09501187648456055,0.07812419189178894,13.666314770827837,4.288846067699681,13.666314770827837,4.288846067699678
gtsrb,vgg11,8,0.01,full_vs_naive_dual,3,0.2850356294536819,0.37764813991169455,-6.185565643214189,1.386306045124757,-1.679538254854957,1.6278103621414468,48.13242280285036,3.240564195169652,91.40906006107906,2.0919333888069285,84.53378967884201,2.8815802567768873
gtsrb,vgg11,8,0.01,full_vs_single,3,0.22169437846397688,0.023752969121138,-6.654667425452909,1.4556732302071969,-1.8655493080780436,1.8855556326756246,93.5114806017419,0.28896903596471263,92.96822569090978,0.4433350198045724,86.17396569323263,2.3885226152935233
gtsrb,vgg11,8,0.01,full_vs_wo_invalid,3,0.6677223541831607,0.2619216894993518,-5.029577614302546,1.637431433575793,-1.66395340273889,1.8535707024758146,0.6819081551860648,0.4121639719397225,29.283876258341817,1.0628399811308937,23.564593905016405,3.0472819687837402
gtsrb,vgg11,8,0.05,full_vs_naive_dual,3,0.6967537608867813,0.5265687953972354,-0.04532959821462364,0.02489570020838954,-0.02506265664160401,0.02506265664160401,49.37104117181314,1.1779380844323046,95.6724823737888,0.0918385206754554,95.62715277557417,0.10256374045923067
gtsrb,vgg11,8,0.05,full_vs_single,3,0.9580364212193252,0.35796213952359035,-0.04602404265906894,0.024150484738881373,-0.02506265664160401,0.02506265664160401,95.82046714172604,0.05517561308300041,94.80686573916978,0.2978716230309014,95.65501844876349,0.1053408526657052
gtsrb,vgg11,8,0.05,full_vs_wo_invalid,3,0.38796516231195766,0.08816728998938872,-0.04185041414333328,0.020970291252656023,-0.02506265664160401,0.02506265664160401,0.4336566376352599,0.0583367733062786,25.989000113109377,0.8566499613387901,25.947149698966044,0.8549802517603788
