method,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
full,cifar100,vgg11,8,0.05,3,68.05666666666667,0.1755942292142151,99.82239057239056,0.03536105018736841,0.016835016835016835,0.005831820900905311,1.1872916666666669,0.2043896528896053,1.5649404761904764,0.2718113685408085,98.25745009620009,0.24553798210859074
full,gtsrb,resnet18,4,0.01,3,98.52203747690683,0.18336398725449235,99.99374046753458,0.0020245110380036216,0.008210180623973726,0.014220449980040045,0.4846265505410399,0.1343427825104349,0.2922934811295857,0.07485512648713509,99.50911391699354,0.1362544820708733
full,gtsrb,resnet18,4,0.05,3,98.74901029295327,0.1581550621966587,100.0,0.0,0.0,0.0,0.05773291105832674,0.005450881380924486,0.06510073018386557,0.029693655021971792,99.92940089733439,0.02506389537242657
full,gtsrb,resnet18,8,0.01,3,98.41646872525732,0.26485714463464255,98.11309982858374,0.26140878120775274,0.8935554883377025,0.6110122216295574,0.47819345473739777,0.12368005621371148,0.32943105983486026,0.1269765323282625,97.1328394049069,0.580436939935727
full,gtsrb,resnet18,8,0.05,3,98.57746107152282,0.06917573197192473,99.99931068691845,0.0011939252795753702,0.0,0.0,0.06565056743204012,0.008166332669890839,0.08247558722618105,0.013738056176866213,99.91683509969226,0.014916979282304493
full,gtsrb,vgg11,4,0.01,3,96.96225917128528,0.1148287670509751,99.31873592993966,0.3699009583978403,0.05584216602514137,0.07574517084471423,1.1262866191607288,0.3420479673036238,0.4299727280724906,0.05573820353561699,98.19244931077895,0.6716436280872456
full,gtsrb,vgg11,4,0.05,3,96.91211401425178,0.07797987174819136,100.0,0.0,0.0,0.0,0.1840855106888361,0.03517291299270954,0.2579836368434943,0.029188435419100888,99.74201636315651,0.02918843541910007
full,gtsrb,vgg11,8,0.01,3,96.9965690155714,0.15112840646313758,93.34533257454709,1.4556732302071969,1.8655493080780436,1.8855556326756246,2.254057798891528,0.31591969825267663,2.2472005429250084,0.07150884137160975,90.40842729259921,2.399027229615075
full,gtsrb,vgg11,8,0.05,3,97.27896542623384,0.18574176099142706,99.95397595734093,0.024150484738881373,0.02506265664160401,0.02506265664160401,0.33847980997624705,0.04418351996347923,0.45790446027975723,0.08472643737780211,99.49607149706118,0.09432080892746361
naive_dual,cifar10,resnet18,4,0.01,3,94.19,0.2594224354214577,99.92962962962964,0.06668595400012393,0.08148148148148147,0.06415002990995841,49.904583333333335,4.43794616301655,89.38222222222223,0.5296699269181528,10.547407407407409,0.5242767161555831
naive_dual,cifar10,resnet18,4,0.05,3,93.87,0.055677643628299064,99.99259259259259,0.00848625128696119,0.011111111111111113,0.011111111111111112,47.09625,0.6610160266589618,89.90472222222222,0.13474598873985838,10.087870370370371,0.1311044411360466
naive_dual,cifar10,resnet18,8,0.01,3,93.89333333333333,0.08504900548115077,99.91296296296296,0.026583105962886468,0.19259259259259262,0.04490502093697089,47.158125,0.12174993583160419,89.77315476190476,0.039820360865462784,10.139808201058202,0.05287449491346516
