baseline,dataset,model,kc,poison_rate,n,clean_acc_adaptive_improvement_pp_mean,clean_acc_adaptive_improvement_pp_std,valid_asr_adaptive_improvement_pp_mean,valid_asr_adaptive_improvement_pp_std,wrong_asr_adaptive_improvement_pp_mean,wrong_asr_adaptive_improvement_pp_std,single_leak_adaptive_improvement_pp_mean,single_leak_adaptive_improvement_pp_std,invalid_leak_adaptive_improvement_pp_mean,invalid_leak_adaptive_improvement_pp_std,csg_adaptive_improvement_pp_mean,csg_adaptive_improvement_pp_std
naive_dual,gtsrb,vgg11,4,0.01,3,0.2876748482449158,0.39440208695112744,-0.6634998987467814,0.28754591832120296,-0.06660345164720662,0.061417997493465375,47.05628134072315,0.20593597569535135,95.39016451130465,0.20981823971270475,93.95381337652373,0.567602115319772
naive_dual,gtsrb,vgg11,4,0.05,3,0.43283188176299614,0.029975763239910084,-0.0013683634373299707,0.0023700749966751003,-0.005473453749315818,0.009480299986693363,48.64871997888625,0.6339460568748939,95.87270168030263,0.04354877619703362,95.86990374002005,0.04385970252999121
naive_dual,gtsrb,vgg11,8,0.01,3,0.12932172077064763,0.501277907448472,-4.555091091906919,1.1559194258994892,-1.3327097378420107,0.5940642255791806,47.570434151491156,3.112145112865136,91.07109866907967,2.099239349360613,86.22823847111385,3.495630723484249
naive_dual,gtsrb,vgg11,8,0.05,3,0.815518606492475,0.336570250306128,-0.0290780099386249,0.012651018413791616,-0.024822592880669108,0.014389654923493285,49.38687648456057,1.180520453645045,95.66296233457753,0.06293900989356832,95.63388432463891,0.07102510780733452
single,cifar10,resnet18,4,0.01,3,0.18000000000000238,0.2163330765278448,-0.13333333333332975,0.07222222222222395,-0.1111111111111111,0.02939723678960656,88.10166666666667,0.5258093959157869,85.445,0.7092459806802595,87.46652777777778,0.11059009789798578
single,cifar10,resnet18,4,0.05,3,0.05666666666666783,0.37740340927624605,-0.008333333333328715,0.0027777777777793222,-0.007407407407407408,0.006415002990995842,89.02708333333334,0.14912417923774707,91.37666666666667,0.8280981389773702,91.36833333333334,0.8298689562623107
single,cifar10,resnet18,8,0.01,3,-0.42000000000000187,0.3251153641401801,-0.366203703703701,0.08138146218170302,-0.6111111111111112,0.029397236789606585,86.815625,0.10791163920078749,81.95434523809524,0.3910203135762283,84.7908201058201,0.307625527306764
single,cifar10,resnet18,8,0.05,3,-0.216666666666665,0.10066445913694326,-0.011574074074068482,0.0008018753738829384,-0.025925925925925925,0.006415002990995841,87.94374999999998,0.050292115435727605,87.06684523809525,0.4401304426503705,87.09583664021166,0.395859284556941
single,cifar10,vgg11,4,0.01,3,-0.23333333333333353,0.4368447474027018,-1.0064814814814804,0.31235284601156477,-0.5925925925925926,0.22369879808209633,85.7325,0.23211998513700158,82.41888888888889,0.18987264250114902,83.4486574074074,0.393189767362321
single,cifar10,vgg11,4,0.05,3,-0.3100000000000029,0.4750789408087914,-0.07037037037036879,0.009755234956342122,-0.044444444444444446,0.01111111111111111,87.57916666666667,0.12875809036069877,87.19138888888888,1.1143796023564638,87.39671296296297,0.6813278261884522
single,cifar10,vgg11,8,0.01,3,-0.13666666666666272,0.26727015047201447,-1.7680555555555626,0.3740755065062426,-2.52962962962963,0.7508294453250207,81.12374999999999,0.17985779973356952,74.17845238095238,0.22319545158637094,75.15108134920634,0.3360910185894941
