====================================================================================================
EXISTING BASELINES VS ADAPTIVE SUMMARY
====================================================================================================
Total rows used: 360

Grouped method counts:
adaptive_feedback_tuned_v2: 72
full: 72
naive_dual: 72
single: 72
wo_invalid: 72

====================================================================================================
GROUPED MEAN ± STD
====================================================================================================
wo_invalid                   | cifar10   | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=93.933±0.032 | valid=99.962±0.012 | wrong=0.078±0.029 | single=2.839±0.090 | invalid=23.332±1.118 | csg=76.630±1.126
wo_invalid                   | cifar10   | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=90.723±0.284 | valid=98.893±0.457 | wrong=0.633±0.366 | single=4.455±0.170 | invalid=14.971±4.017 | csg=83.921±3.592
wo_invalid                   | cifar10   | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=90.893±0.386 | valid=99.935±0.011 | wrong=0.081±0.039 | single=2.984±0.166 | invalid=4.741±0.185 | csg=95.195±0.175
wo_invalid                   | cifar10   | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=90.683±0.146 | valid=98.505±0.332 | wrong=2.137±0.403 | single=10.565±0.349 | invalid=40.062±1.401 | csg=58.442±1.075
wo_invalid                   | cifar10   | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=90.747±0.232 | valid=99.773±0.124 | wrong=0.311±0.044 | single=6.964±0.168 | invalid=30.565±2.864 | csg=69.208±2.741
wo_invalid                   | cifar100  | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=76.737±0.117 | valid=98.647±0.067 | wrong=0.034±0.015 | single=1.701±0.337 | invalid=20.975±4.127 | csg=77.672±4.061
wo_invalid                   | cifar100  | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=76.340±0.167 | valid=99.963±0.008 | wrong=0.000±0.000 | single=0.480±0.116 | invalid=2.054±1.038 | csg=97.909±1.041
wo_invalid                   | cifar100  | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=76.533±0.309 | valid=98.339±0.437 | wrong=0.357±0.155 | single=2.946±0.643 | invalid=40.104±6.079 | csg=58.235±5.646
wo_invalid                   | cifar100  | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=76.490±0.165 | valid=99.958±0.011 | wrong=0.013±0.006 | single=1.037±0.184 | invalid=36.195±15.193 | csg=63.763±15.182
wo_invalid                   | cifar100  | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=68.813±0.296 | valid=99.166±0.214 | wrong=0.071±0.027 | single=2.181±0.274 | invalid=38.530±7.475 | csg=60.636±7.365
wo_invalid                   | cifar100  | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=68.950±0.178 | valid=99.945±0.028 | wrong=0.000±0.000 | single=0.596±0.095 | invalid=1.609±1.247 | csg=98.336±1.219
wo_invalid                   | cifar100  | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=69.043±0.098 | valid=98.726±0.096 | wrong=0.263±0.081 | single=4.066±0.366 | invalid=49.796±7.289 | csg=48.929±7.341
wo_invalid                   | cifar100  | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=68.927±0.333 | valid=99.915±0.017 | wrong=0.027±0.015 | single=1.566±0.082 | invalid=29.208±4.028 | csg=70.707±4.032
wo_invalid                   | gtsrb     | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=98.588±0.113 | valid=99.999±0.001 | wrong=0.000±0.000 | single=0.236±0.029 | invalid=37.595±13.591 | csg=62.405±13.590
wo_invalid                   | gtsrb     | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=98.757±0.206 | valid=100.000±0.000 | wrong=0.000±0.000 | single=0.044±0.013 | invalid=42.886±18.988 | csg=57.114±18.988
wo_invalid                   | gtsrb     | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=98.530±0.064 | valid=99.874±0.083 | wrong=0.142±0.131 | single=1.028±0.043 | invalid=34.109±1.494 | csg=65.765±1.521
wo_invalid                   | gtsrb     | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=98.601±0.242 | valid=100.000±0.000 | wrong=0.000±0.000 | single=0.163±0.044 | invalid=33.057±0.799 | csg=66.943±0.799
wo_invalid                   | gtsrb     | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=97.026±0.064 | valid=99.684±0.090 | wrong=0.000±0.000 | single=1.446±0.188 | invalid=22.454±9.090 | csg=77.230±9.061
wo_invalid                   | gtsrb     | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=96.962±0.242 | valid=100.000±0.000 | wrong=0.000±0.000 | single=0.279±0.057 | invalid=13.924±4.275 | csg=86.076±4.275
